Aset;Period;Device Model;Category;Serial Number;Status;Location
Zona;July 2026;Aver Cam 570 Camera for Conference;Camera;MMD202608070064;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070065;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070066;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Yamaha XMV4280 Amplifier Main Speaker;Audio - Speaker/Amplifier;MMD202608070067;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070068;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Netgear GS308EPP PoE Switch 8 port;Networking;MMD202608070069;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (1);Microphone;MMD202608070070;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (2);Microphone;MMD202608070071;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (3);Microphone;MMD202608070072;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (4);Microphone;MMD202608070073;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (5);Microphone;MMD202608070074;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (6);Microphone;MMD202608070075;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure SBC850-E Dual Docking Charging Station;Accessory - Charging/Battery;MMD202608070076;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (1);Microphone;MMD202608070077;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Bracket (2);Microphone;MMD202608070078;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (1);Microphone;MMD202608070079;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (2);Microphone;MMD202608070080;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Shure P300-IMX Conference Audio Controller;Audio Processor;MMD202608070081;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Barco CX50 Wireless Presentation;Presentation Device;MMD202608070082;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Crestron TSS-1070-B-S-LB KIT Display Booking;Display;MMD202608070083;In Use;Sultan Syahrir Meeting Room
Zona;July 2026;Hisense 100Q6N Display TV with Bracket Standing;Display;MMD202608070084;In Use;Agus Salim Meeting Room
Zona;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX;Video Extender;MMD202608070085;In Use;Agus Salim Meeting Room
Zona;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX;Video Extender;MMD202608070086;In Use;Agus Salim Meeting Room
Zona;July 2026;Arec Katov KT-KD10 AV Processor - HDMI Switcher;Audio Processor;MMD202608070087;In Use;Agus Salim Meeting Room
Zona;July 2026;Aver Cam 570 Camera for Conference;Camera;MMD202608070088;In Use;Agus Salim Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070089;In Use;Agus Salim Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070090;In Use;Agus Salim Meeting Room
Zona;July 2026;Yamaha XMV4280 Amplifier Main Speaker;Audio - Speaker/Amplifier;MMD202608070091;In Use;Agus Salim Meeting Room
Zona;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070092;In Use;Agus Salim Meeting Room
Zona;July 2026;Netgear GS308EPP PoE Switch 8 port;Networking;MMD202608070093;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (1);Microphone;MMD202608070094;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (2);Microphone;MMD202608070095;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (3);Microphone;MMD202608070096;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (4);Microphone;MMD202608070097;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (5);Microphone;MMD202608070098;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (6);Microphone;MMD202608070099;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure SBC850-E Dual Docking Charging Station;Accessory - Charging/Battery;MMD202608070100;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (1);Microphone;MMD202608070101;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (2);Microphone;MMD202608070102;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (1);Microphone;MMD202608070103;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (2);Microphone;MMD202608070104;In Use;Agus Salim Meeting Room
Zona;July 2026;Shure P300-IMX Conference Audio Controller;Audio Processor;MMD202608070105;In Use;Agus Salim Meeting Room
Zona;July 2026;Barco CX50 Wireless Presentation;Presentation Device;MMD202608070106;In Use;Agus Salim Meeting Room
Zona;July 2026;Crestron TSS-1070-B-S-LB KIT Display Booking;Display;MMD202608070107;In Use;Agus Salim Meeting Room
Zona;July 2026;Hisense 100Q6N Display TV with Bracket Standing;Display;MMD202608070108;In Use;Teuku Umar Meeting Room
Zona;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX;Video Extender;MMD202608070109;Repair;Teuku Umar Meeting Room
Zona;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX;Video Extender;MMD202608070110;Repair;Teuku Umar Meeting Room
Zona;July 2026;Arec Katov KT-KD10 AV Processor - HDMI Switcher;Audio Processor;MMD202608070111;Repair;Teuku Umar Meeting Room
Zona;July 2026;Aver Cam 570 Camera for Conference;Camera;MMD202608070112;In Use;Teuku Umar Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070113;Repair;Teuku Umar Meeting Room
Zona;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070114;Repair;Teuku Umar Meeting Room
Zona;July 2026;Yamaha XMV4280 Amplifier Main Speaker;Audio - Speaker/Amplifier;MMD202608070115;Repair;Teuku Umar Meeting Room
Zona;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070116;Repair;Teuku Umar Meeting Room
Zona;July 2026;Netgear GS308EPP PoE Switch 8 port;Networking;MMD202608070117;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (1);Microphone;MMD202608070118;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (2);Microphone;MMD202608070119;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (3);Microphone;MMD202608070120;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (4);Microphone;MMD202608070121;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (5);Microphone;MMD202608070122;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (6);Microphone;MMD202608070123;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure SBC850-E Dual Docking Charging Station;Accessory - Charging/Battery;MMD202608070124;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (1);Microphone;MMD202608070125;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (2);Microphone;MMD202608070126;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (1);Microphone;MMD202608070127;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure ULXD4QE Wireless Receiver Mic (2);Microphone;MMD202608070128;Repair;Teuku Umar Meeting Room
Zona;July 2026;Shure P300-IMX Conference Audio Controller;Audio Processor;MMD202608070129;Repair;Teuku Umar Meeting Room
Zona;July 2026;Barco CX50 Wireless Presentation;Presentation Device;MMD202608070130;In Use;Teuku Umar Meeting Room
Zona;July 2026;Crestron TSS-1070-B-S-LB KIT Display Booking;Display;MMD202608070131;Repair;Teuku Umar Meeting Room
Field;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070132;In Use;Bullian 3 Meeting Room
Field;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070133;In Use;Bullian 3 Meeting Room
Field;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070134;In Use;Production Operation Meeting Room
Field;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070135;In Use;Production Operation Meeting Room
Field;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070136;In Use;Bullian 1 Meeting Room
Field;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070137;In Use;Bullian 1 Meeting Room
Field;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070138;In Use;Field Manager Meeting Room
Field;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070139;In Use;Field Manager Meeting Room
Field;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070140;In Use;RAM Meeting Room
Field;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070141;In Use;RAM Meeting Room
Field;July 2026;Display Interactive TV 65 Inch with bracket;Display;MMD202608070142;In Use; Supply Chain Management Meeting Room
Field;July 2026;Maxhub WT13M Wireless Presentation;Presentation Device;MMD202608070143;In Use; Supply Chain Management Meeting Room
Field;July 2026;Hisense 100Q6N Display TV with Bracket Standing;Display;MMD202608070144;In Use;Bullian 2 Meeting Room
Field;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX;Video Extender;MMD202608070145;In Use;Bullian 2 Meeting Room
Field;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX;Video Extender;MMD202608070146;In Use;Bullian 2 Meeting Room
Field;July 2026;Arec Katov KT-KD10 AV Processor - HDMI Switcher;Audio Processor;MMD202608070147;In Use;Bullian 2 Meeting Room
Field;July 2026;Aver Cam 570 Camera for Conference;Camera;MMD202608070148;In Use;Bullian 2 Meeting Room
Field;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070149;In Use;Bullian 2 Meeting Room
Field;July 2026;Yamaha VXL1-16 Speaker Slim Line Array;Audio - Speaker/Amplifier;MMD202608070150;In Use;Bullian 2 Meeting Room
Field;July 2026;Yamaha XMV4280 Amplifier Main Speaker;Audio - Speaker/Amplifier;MMD202608070151;In Use;Bullian 2 Meeting Room
Field;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070152;In Use;Bullian 2 Meeting Room
Field;July 2026;Netgear GS308EPP PoE Switch 8 port;Networking;MMD202608070153;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (1);Microphone;MMD202608070154;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (2);Microphone;MMD202608070155;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (3);Microphone;MMD202608070156;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (4);Microphone;MMD202608070157;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (5);Microphone;MMD202608070158;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD8 + MX410LPDF/C Tablestand Gooseneck (6);Microphone;MMD202608070159;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure SBC850-E Dual Docking Charging Station;Accessory - Charging/Battery;MMD202608070160;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (1);Microphone;MMD202608070161;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure MXA920W + A910-HCM Ceiling Mic & Frame (2);Microphone;MMD202608070162;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD4QE Wireless Receiver Mic (1);Microphone;MMD202608070163;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure ULXD4QE Wireless Receiver Mic (2);Microphone;MMD202608070164;In Use;Bullian 2 Meeting Room
Field;July 2026;Shure P300-IMX Conference Audio Controller;Audio Processor;MMD202608070165;In Use;Bullian 2 Meeting Room
Field;July 2026;Barco CX50 Wireless Presentation;Presentation Device;MMD202608070166;In Use;Bullian 2 Meeting Room
Field;July 2026;Crestron TSS-1070-B-S-LB KIT Display Booking;Display;MMD202608070167;In Use;Bullian 2 Meeting Room
Field;July 2026;Maxhub GH3125 LED Screen Indoor minimum;Display;MMD202608070168;In Use;Gedung Serbaguna
Field;July 2026;Novastar H2 LED Controller Screen Indoor;Display;MMD202608070169;In Use;Gedung Serbaguna
Field;July 2026;Crestron TSS-1070-B-S-LB KIT Room Booking Display;Display;MMD202608070170;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX (1);Video Extender;MMD202608070171;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX (2);Video Extender;MMD202608070172;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender TX (3);Video Extender;MMD202608070173;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-TXC-4KZ-10 HDMI Extender TX (4);Video Extender;MMD202608070174;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX (1);Video Extender;MMD202608070175;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-TXC-4KZ-101 HDMI Extender RX (2);Video Extender;MMD202608070176;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX (3);Video Extender;MMD202608070177;In Use;Gedung Serbaguna
Field;July 2026;Crestron HD-RXC-4KZ-101 HDMI Extender RX (4);Video Extender;MMD202608070178;In Use;Gedung Serbaguna
Field;July 2026;Rolland VR-6HD AV Processor;Audio Processor;MMD202608070179;In Use;Gedung Serbaguna
Field;July 2026;Allen & Heath QU-16 Audio Processor;Audio Processor;MMD202608070180;In Use;Gedung Serbaguna
Field;July 2026;Aver PTC320UNV2 Camera video PTZ;Camera;MMD202608070181;In Use;Gedung Serbaguna
Field;July 2026;Sony PXW-Z200 4K Professional Camcorder & Tripod (1);Camera;MMD202608070182;In Use;Gedung Serbaguna
Field;July 2026;Sony PXW-Z200 4K Professional Camcorder & Tripod (2);Camera;MMD202608070183;In Use;Gedung Serbaguna
Field;July 2026;Hollyland Mars 400S Pro Video Transmiter Pro Camcorder (1);Camera;MMD202608070184;In Use;Gedung Serbaguna
Field;July 2026;Hollyland Mars 400S Pro Video Transmiter Pro Camcorder (2);Camera;MMD202608070185;In Use;Gedung Serbaguna
Field;July 2026;Yamaha VXL1-24 (1) Speaker FOH Slim line array (1);Audio - Speaker/Amplifier;MMD202608070186;In Use;Gedung Serbaguna
Field;July 2026;Yamaha VXL1-24 Speaker FOH Slim line array (2);Audio - Speaker/Amplifier;MMD202608070187;In Use;Gedung Serbaguna
Field;July 2026;Audac VEXO110 Delay Speaker Hall (1);Audio - Speaker/Amplifier;MMD202608070188;In Use;Gedung Serbaguna
Field;July 2026;Audac VEXO110 Delay Speaker Hall (2);Audio - Speaker/Amplifier;MMD202608070189;In Use;Gedung Serbaguna
Field;July 2026;Audac VEXO110 Delay Speaker Hall (3);Audio - Speaker/Amplifier;MMD202608070190;In Use;Gedung Serbaguna
Field;July 2026;Audac VEXO110 Delay Speaker Hall (4);Audio - Speaker/Amplifier;MMD202608070191;In Use;Gedung Serbaguna
Field;July 2026;Yamaha VXS10S Subwoofer (1);Audio - Speaker/Amplifier;MMD202608070192;In Use;Gedung Serbaguna
Field;July 2026;Yamaha VXS10S Subwoofer (2);Audio - Speaker/Amplifier;MMD202608070193;In Use;Gedung Serbaguna
Field;July 2026;Yamaha PX5 Amplifier Subwoofer (1);Audio - Speaker/Amplifier;MMD202608070194;In Use;Gedung Serbaguna
Field;July 2026;Yamaha PX5 Amplifier Subwoofer (2);Audio - Speaker/Amplifier;MMD202608070195;In Use;Gedung Serbaguna
Field;July 2026;Audac SMA500 Amplifier Delay;Audio - Speaker/Amplifier;MMD202608070196;In Use;Gedung Serbaguna
Field;July 2026;Audac SMA500 Amplifier Delay;Audio - Speaker/Amplifier;MMD202608070197;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD1+H51+ ULXD4A Wireless Headset System;Microphone;MMD202608070198;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (1);Microphone;MMD202608070199;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (2);Microphone;MMD202608070200;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (3);Microphone;MMD202608070201;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (4);Microphone;MMD202608070202;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (5);Microphone;MMD202608070203;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (6);Microphone;MMD202608070204;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (7);Microphone;MMD202608070205;In Use;Gedung Serbaguna
Field;July 2026;Shure ULXD2/SM58 SB900B-A Shure ULXD4Q Mic Handheld (8);Microphone;MMD202608070206;In Use;Gedung Serbaguna
Field;July 2026;Audinate Dante Analog To Network Adapter;Networking;MMD202608070207;In Use;Gedung Serbaguna
Field;July 2026;Netgear GS308EPP PoE Network Switch 8 Port;Networking;MMD202608070208;In Use;Gedung Serbaguna
Field;July 2026;Shure SBRC-E-P Battery Charging Station;Accessory - Charging/Battery;MMD202608070209;In Use;Gedung Serbaguna
Field;July 2026;Shure SBC-AX Module compatible battery rack (1);Accessory - Charging/Battery;MMD202608070210;In Use;Gedung Serbaguna
Field;July 2026;Shure SBC-AX Module compatible battery rack (2);Accessory - Charging/Battery;MMD202608070211;In Use;Gedung Serbaguna
Field;July 2026;Shure SBC-AX Module compatible battery rack (3);Accessory - Charging/Battery;MMD202608070212;In Use;Gedung Serbaguna
Field;July 2026;Shure SBC-AX Module compatible battery rack (4);Accessory - Charging/Battery;MMD202608070213;In Use;Gedung Serbaguna
